"orgName","type","invoiceText","startOn","cost","currency","qty"
"Nice Loop","EXTEND","Call Recording Standard ","2018-05-17","200.0","THB","1"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","Direct Line Professional ","2018-06-01","150.0","THB","3"
"Indigo International Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-04-16","250.0","THB","1"
"Direct Asia","REACTIVATE","BizPhone Standard ","2018-04-19","283.871","THB","2"
"CB Lockers","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Cloudee-Live","RENEW","Call Recording Standard ","2018-05-01","100.0","THB","1"
"Project Victor Co., Ltd.","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Khun Santosh","EXTEND","BizPhone Standard ","2018-05-17","200.0","THB","1"
"Trial account - Rockworth","REACTIVATE","Virtual Line Business ","2018-06-03","967.7419","THB","1"
"Coins Co.,Ltd.","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","2"
"Mediakeys","EXTEND","BizPhone Standard ","2018-06-16","200.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-06-11","290.3226","THB","1"
"Dmatrix.Co,Ltd.","EXTEND","Virtual Line Professional ","2018-05-30","250.0","THB","1"
"Phoenix Media","EXTEND","Virtual Line Professional ","2018-06-08","314.5161","THB","1"
"Sharge Solutions Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Sharge Solutions Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-07","450.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-06-12","282.2581","THB","10"
"SM Trading and Services","EXTEND","Call Recording Standard ","2018-05-27","200.0","THB","1"
"WSMART","SUBSCRIBE","Virtual Line Professional ","2018-06-18","250.0","THB","2"
"WSMART","EXTEND","Virtual Line Professional ","2018-06-16","379.0323","THB","1"
"Global Blue (Thailand)","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"T-CUBE Development (Thailand) Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-29","250.0","THB","1"
"Mega We Care","EXTEND","Call Recording Standard ","2018-05-01","500.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Call Tracking Standard ","2018-04-25","500.0","THB","1"
"Project Victor Co., Ltd.","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"Ocean Property Company Limited","EXTEND","Call Tracking Standard ","2018-06-01","1000.0","THB","1"
"GFood Asia Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-27","400.0","THB","1"
"DeeMoney","EXTEND","BizPhone Standard ","2018-05-24","2500.0","THB","1"
"Zipevent Co., Ltd.","EXTEND","Call Recording Standard ","2018-05-01","500.0","THB","1"
"SD Silver House","EXTEND","Call Recording Standard ","2018-05-26","200.0","THB","1"
"DeeMoney","EXTEND","Call Recording Standard ","2018-05-24","2500.0","THB","1"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","Call Tracking Standard ","2018-06-01","300.0","THB","1"
"Natural Health Food","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Sagami Shoko(Thailand) Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-06-14","266.129","THB","1"
